velocity,x_direct,x_distance,y_direct,y_distance,d12,d23,d34,d45,d26,d67,d78,d215,d159,d910,d1011,d1512,d1213,d1314,type
23.504,3,3,3,2,19.925,13.601,7.071,6,16.031,17.692,21.19,35.511,18.439,12,34.482,21.095,33.838,16.125,lob
51.551,3,3,3,2,17.464,16.553,11.402,16.279,18.248,15.264,11.705,22.204,20.591,35.735,29.411,27.166,18.028,17,smash
20.716,2,2,2,2,25.298,17.889,10.63,8,16,17,0,23,17.889,15,24,17.889,24.352,17.889,lob
30.361,2,3,2,3,31,17.464,24,32,16,17.889,22.627,25.298,17.889,28.302,40,25.298,31,17.889,cut
24.406,3,2,3,2,15.811,13.038,10.296,11.18,5.657,8.602,7.616,23.601,16.971,17.464,30.463,14.036,18.028,22.091,lob
29.544,3,3,3,3,28.844,8,32.985,28.844,17.889,8,16,32,28.844,43.081,43.081,24,32.985,35.777,cut
27.331,2,2,3,3,17.804,13.601,13.153,14.318,15.264,14.866,10.296,11.314,12.042,14.318,19.105,11.402,19.105,9,lob
37.2,3,3,3,3,24,17.889,25.298,21.932,11.314,16,32,32.985,24,44.553,48,25.298,34.886,42.154,long
40.136,3,4,3,2,9.22,16.125,14.036,15.033,15.033,19.799,11.18,25.612,26.401,22.804,27.166,20.616,23.087,25.612,long
39.669,3,3,3,3,25.298,15,16,8,8,35.777,22.627,24,28.302,23,35.777,25.298,39.205,43.081,long
39.101,2,3,3,2,17.464,9.899,15,23,10.63,11.314,17,23,16,16.553,25,17.889,31,30,cut
12.378,2,3,2,2,32.985,11.314,15,17.889,0,17.889,17.889,24,24,28.018,40.792,28.302,40.608,39.205,netplay
6.406,2,2,2,2,23.431,18.028,17,19.849,11.662,13.601,17.029,12.53,10.63,17.889,15.524,12.083,11.18,16.492,netplay
31.24,2,2,2,2,28.302,8,17.889,60.539,10.63,25,8,25.298,25.298,32,31,24,32.985,39.205,lob
53.879,3,5,3,2,17,16.643,16.031,14.422,17.088,13.892,7.616,27.295,17.692,20.396,21.378,14.765,18.682,13.928,cut
20.771,3,3,3,3,23,11.314,24.352,22.627,16,22.627,21.932,25.298,24.352,39.205,39,24.352,44.553,34.886,netplay
23.804,3,1,3,2,25.298,17.889,17.464,22.627,11.314,17.889,8,25.298,17.889,25.298,32.985,17.889,25.298,25.298,lob
41.998,3,3,3,4,32,15,32.016,11.314,16,27.459,17.889,24.352,24,46.141,41.785,22.627,35.341,24.352,cut
22.471,3,2,3,2,24,16,17,17.889,16,15,11.314,15,17.889,24.352,34.886,17.889,24.352,32.016,netplay
26.493,3,3,2,2,28.302,8,33.242,15,11.314,8,8,25.298,17.889,34.886,25.298,17.889,39.812,39.205,lob
68.983,2,3,2,2,17.263,17.263,15.133,14.142,11.18,22.204,10.817,23.022,13.928,20.809,15.033,16.643,23.087,16.125,drive
45.075,2,3,2,2,31.78,8,25.298,16,15,25.298,24.352,24,24.352,35.777,34.438,24.042,42.154,40,lob
22.679,3,5,3,2,17.889,8,17.464,16,0,17.889,17.889,24.352,17.889,23,28.302,11.314,24.352,39.205,cut
11.28,3,4,3,2,24.352,22.627,24.352,15,7,25.298,17.889,24.042,16,34.438,24.352,22.627,34.886,30,netplay
16.561,2,1,3,2,28.844,0,21.932,17.889,8,15,17.889,21.932,17.889,22.627,28.018,17.889,25.298,31,netplay
14.423,3,3,3,3,24,17.889,24.042,22.627,17,21.932,16,31.78,24,43.139,39.623,28.844,28.018,39.205,long
28.4,2,3,2,3,28.018,16,17,8,11.314,22.627,17.889,22.627,24.352,40,39.408,17.889,40,40.792,cut
23.105,2,3,3,2,16.279,17.493,17,20.518,11,25.179,10.817,27.019,17.029,18.974,17.029,13.454,20.248,19.698,lob
31.65,3,3,3,3,31,15,24.352,17.889,16,17,10.63,23,28.302,38.833,39,25.298,34.886,31.78,long
34.497,3,3,3,2,25.298,17.889,17.889,8,7,16,23,16,24,28.018,32.985,28.302,42.154,28.844,long
27.051,3,2,3,2,28.018,11.314,24,25.298,8,24,8,17.889,11.314,22.627,25.298,11.314,22.627,8,cut
7.671,2,2,3,3,25.298,17.889,7,17.889,11.314,32.016,17.889,32.016,28.302,39.812,28.844,24,42.154,39.812,netplay
15.887,2,2,2,2,24.352,17.889,17,11.314,16,16,10.63,23,22.627,24.352,31.048,16,24.352,31.048,lob
6.968,2,2,2,1,24,11.314,23,16,17.889,16,15,25.298,24.352,25.298,24.352,23,24,24.352,netplay
7.392,2,2,2,2,23.087,15.811,17.72,21.954,23.087,22.023,26.306,34.234,29.155,29.275,32,26.833,26.306,34.366,netplay
57.896,3,4,3,2,18.601,17.692,12.166,12.042,12.806,15.652,16.031,23.022,24.083,24.021,26.019,20.025,26.476,22.804,cut
35.163,3,3,2,2,21.84,8.062,15,23.022,8.544,15.033,15.297,32.65,20.248,21.19,36.878,25.239,29.069,35,lob
25.726,2,3,2,2,16,8,17,25.298,11.314,16.553,0,23,16,32.016,24,22.627,31.78,28.844,cut
4.578,2,3,2,2,25.298,8,11.314,11.314,8,17,11.314,23,22.627,34.886,32.985,16,31,32.985,netplay
62.318,3,3,3,3,20.616,16.279,30.414,27.295,20.248,9.849,23.409,41.593,28.425,42.72,35.355,24.331,36.346,39.812,cut
17.769,3,3,3,3,21.932,11.314,17.889,17.889,8,16,17.889,17.889,21.932,24.352,32.985,17,17.889,24.352,netplay
32.405,3,3,3,2,25.298,17,17.464,11.314,11.314,17,17.889,16,24,21.932,32,28.844,42.72,21.932,lob
52.147,3,3,3,2,15.652,11.662,14.765,16.279,19,14,11,22.804,24.413,24.187,27.459,19.105,24.042,21.471,smash
36.017,3,3,3,2,25.298,17.889,16,0,16,28.018,11.314,25.298,24,39.205,44.553,22.627,38.601,35.777,lob
70.427,3,3,3,2,17.889,11.18,11.402,9.849,12.369,17.117,18.385,23.345,21.932,35.384,19.647,20.025,26.173,23.537,smash
