velocity,x_direct,x_distance,y_direct,y_distance,x12,y12,x23,y23,x34,y34,x45,y45,x26,y26,x67,y67,x78,y78,x215,y215,x159,y159,x910,y910,x1011,y1011,x1512,y1512,x1213,y1213,x1314,y1314,type
27.808,2,3,2,2,-7,23,-8,0,-8,8,-15,-8,7,0,8,16,8,7,0,16,-8,15,0,23,-8,23,7,15,-7,31,23,23,cut
23.231,2,3,2,2,7,24,8,8,-8,7,-23,0,-7,8,-8,15,-16,-8,16,23,8,24,-8,31,-8,8,0,24,0,31,15,31,lob
29.767,3,4,2,2,-17,4,-15,-8,1,-13,13,6,0,15,-14,3,-5,-13,-26,8,-13,12,-8,23,-9,32,-2,14,1,32,25,7,long
65.487,2,3,2,3,7,32,16,0,23,24,-8,16,-15,8,-15,24,7,-8,8,24,8,24,0,40,-8,40,-8,24,-15,40,0,40,cut
12.183,2,2,2,3,8,16,-15,8,0,16,0,16,7,0,16,0,7,24,0,16,0,16,-8,32,0,24,7,16,8,-16,8,64,netplay
12.615,2,3,2,2,7,14,12,3,-14,7,-12,3,-4,9,10,-3,17,-1,27,28,11,17,-18,2,-13,25,-1,23,5,26,17,20,lob
49.578,2,3,2,2,2,21,-5,11,-18,2,-22,0,6,4,22,6,17,16,23,31,17,21,10,22,38,27,-7,24,-23,20,-7,37,lob
33.928,2,3,2,2,-8,12,-10,-6,-3,-18,2,-14,8,17,8,11,7,13,-13,24,-14,17,-1,29,3,26,4,22,5,27,-1,24,netplay
9.57,3,3,2,2,8,24,8,0,7,15,-30,0,0,0,0,23,-8,16,15,23,8,16,-15,31,-16,24,8,16,-8,39,23,39,netplay
21.476,2,2,2,2,10,18,-13,3,-6,16,-18,15,16,-6,19,-4,17,5,4,15,-5,13,-9,11,-10,24,13,9,16,12,6,7,lob
37.194,3,2,3,3,15,24,8,0,24,-16,0,0,-15,0,7,8,32,-16,0,24,8,23,-8,56,-8,39,0,23,0,48,-8,47,long
39.562,3,3,3,4,9,18,22,-2,17,-16,3,-29,-4,15,19,3,9,-7,22,41,14,25,6,37,3,42,-8,24,-5,30,-11,35,cut
23.868,2,2,3,2,2,18,-9,7,-4,14,-11,17,20,-4,11,3,13,8,8,19,-7,17,-14,11,-14,23,6,16,11,10,6,10,lob
41.45,2,3,2,3,13,10,13,-5,1,-33,-7,-25,1,19,10,-16,-13,-18,31,28,24,29,21,19,-14,40,-8,25,-18,25,-28,16,cut
10.93,3,2,2,3,-16,7,8,8,8,7,15,15,0,-7,-8,22,8,8,-16,8,-7,15,23,15,16,15,-15,7,-8,15,-15,8,netplay
5.614,3,3,3,2,-8,32,8,0,15,16,15,0,-16,0,-30,8,-8,0,-8,24,0,24,23,0,8,32,-15,16,-16,32,-7,24,netplay
6.102,3,1,3,2,-1,16,1,7,14,6,13,6,-8,8,10,6,10,0,-8,29,-10,21,17,14,10,28,1,23,-12,11,-12,15,netplay
12.929,3,2,3,1,-8,24,15,8,8,16,0,-8,-8,0,-15,8,-15,16,-8,24,8,24,15,8,0,32,-7,16,-16,32,8,32,netplay
69.941,2,3,2,3,14,15,20,-10,8,-24,5,-24,0,18,16,-4,9,-8,29,33,19,25,17,29,-18,32,-9,26,-12,30,-18,31,smash
36.939,2,3,2,3,0,16,-8,8,0,16,0,16,8,8,8,8,0,8,0,24,-8,16,-8,23,-16,16,8,16,16,23,8,24,netplay
37.421,3,3,2,2,8,24,7,8,0,16,-15,8,-8,0,-16,24,-16,8,0,24,7,24,8,23,24,32,-8,24,-24,31,-16,40,lob
72.062,3,2,3,2,-10,8,-13,-3,9,-21,-9,11,-8,20,1,21,6,-15,-20,22,-18,12,-10,23,-7,23,2,17,7,21,10,23,smash
33.386,3,3,3,3,11,19,24,-2,13,-15,5,-27,-6,13,23,5,13,-15,21,44,14,19,1,40,3,41,-9,24,-3,32,-6,32,cut
22.86,2,2,3,2,-7,23,-8,0,0,8,8,8,7,0,8,8,-8,8,0,8,0,8,-16,15,-8,24,7,8,8,8,15,15,lob
33.825,3,3,3,3,8,23,-16,8,-8,8,8,-16,8,0,31,-16,16,-15,0,23,-8,24,-8,31,-8,24,8,24,23,39,8,47,long
29.461,3,4,3,2,-11,12,-15,-7,-5,-9,4,-14,4,13,-6,14,-8,-12,-12,18,-19,12,-11,28,10,24,1,18,1,24,21,16,cut
12.924,3,3,3,2,-8,24,16,8,8,16,8,7,-8,0,-16,8,-8,0,-8,24,8,15,16,16,8,24,-8,15,-16,32,0,31,netplay
22.969,2,2,3,2,8,24,-16,0,0,16,8,8,7,0,0,8,-7,-8,0,16,-8,16,-8,31,-8,24,7,16,8,23,-8,24,lob
31.137,3,2,3,3,-8,32,8,8,24,16,24,8,-8,0,32,24,32,8,-8,24,-16,16,24,15,24,40,-8,16,16,15,-56,8,cut
27.953,2,2,3,3,8,16,-8,7,-7,16,-16,8,15,0,8,0,8,23,8,23,0,8,-16,15,-15,24,7,8,16,15,15,16,lob
35.192,2,2,2,3,8,31,-16,0,-24,-8,-24,0,8,0,16,15,16,16,0,23,0,23,-32,24,-8,38,16,31,8,39,24,0,long
42.224,2,3,2,2,-8,16,-8,0,-16,0,-8,-8,8,7,8,16,0,-16,0,23,0,15,8,31,24,16,8,15,8,31,16,16,long
41.763,2,3,2,2,15,7,21,-10,2,-23,-2,-28,-3,14,9,-15,2,-17,30,31,17,17,6,38,0,35,-4,23,-10,30,-26,20,long
27.173,2,3,3,2,-8,23,8,8,-16,0,0,8,-15,0,-8,8,-7,-15,-8,32,8,15,-8,32,16,8,-7,15,0,40,15,31,lob
39.49,3,3,3,2,-14,6,-6,-11,-2,-14,1,-19,5,15,-13,12,-2,-12,-13,20,-14,17,-16,25,3,23,2,19,12,23,21,12,long
33.257,3,3,2,3,18,7,18,-12,7,-26,-9,-18,12,16,19,-5,13,-20,39,22,20,21,23,21,1,42,-3,24,-15,25,-27,21,cut
28.979,2,3,2,2,18,12,16,15,12,-11,-22,4,-3,20,0,-11,-4,-24,15,44,11,22,1,38,-13,41,-10,22,4,35,-11,39,long
54.281,3,3,3,3,15,24,0,8,16,16,-8,-32,16,-8,16,-32,8,-24,16,24,0,24,0,39,-8,40,24,16,15,47,-23,40,smash
22.979,3,3,3,3,-23,15,0,0,23,15,16,16,-8,-8,0,23,0,0,-15,15,-16,8,-16,23,-23,8,-16,8,31,8,0,23,netplay
23.504,3,3,3,2,-6,19,8,11,7,1,0,-6,-16,-1,-13,12,-20,7,-6,35,4,18,12,0,-10,33,-11,18,-11,32,8,14,lob
51.551,3,3,3,2,-16,7,-15,-7,-3,-11,12,-11,-3,18,-8,13,-11,-4,-18,13,-18,10,-11,34,-9,28,3,27,1,18,15,8,smash
20.716,2,2,2,2,8,24,-16,8,-8,7,-8,0,16,0,8,15,0,0,0,23,-8,16,0,15,0,24,8,16,8,23,-16,8,lob
30.361,2,3,2,3,0,31,-16,-7,-24,0,-32,0,16,0,16,8,16,16,8,24,-8,16,-24,15,0,40,8,24,0,31,16,8,cut
24.406,3,2,3,2,-9,13,1,13,5,9,5,10,-4,-4,-5,-7,-3,-7,-19,14,-12,12,16,7,12,28,1,14,-15,10,-22,2,lob
29.544,3,3,3,3,16,24,8,0,32,-8,16,-24,-16,8,0,-8,0,-16,0,32,16,24,16,40,16,40,0,24,8,32,-16,32,cut
27.331,2,2,3,3,11,14,-13,4,-2,13,-3,14,13,-8,10,-11,9,-5,8,8,-9,8,-13,6,-2,19,11,3,2,19,9,0,lob
37.2,3,3,3,3,0,24,16,8,24,-8,15,-16,-8,8,0,-16,32,0,8,32,0,24,32,31,0,48,-8,24,16,31,-39,16,long
40.136,3,4,3,2,-6,7,-14,-8,-1,-14,1,-15,1,15,14,-14,-2,-11,-16,20,-16,21,-6,22,3,27,5,20,2,23,16,20,long
39.669,3,3,3,3,8,24,-15,0,0,-16,0,8,8,0,32,-16,16,-16,0,24,-15,24,0,23,-16,32,8,24,24,31,16,40,long
39.101,2,3,3,2,7,16,-7,7,-15,0,-23,0,8,7,8,8,15,8,0,23,0,16,-15,7,-7,24,8,16,0,31,30,0,cut
12.378,2,3,2,2,8,32,-8,-8,-15,0,-16,-8,0,0,8,16,-16,8,0,24,0,24,-23,16,-8,40,15,24,-7,40,31,24,netplay
6.406,2,2,2,2,15,18,-17,6,0,17,-13,15,6,-10,11,-8,17,-1,6,11,-7,8,-16,8,4,15,11,5,2,11,16,4,netplay
31.24,2,2,2,2,15,24,0,8,8,16,-23,56,-7,8,7,24,8,0,8,24,8,24,0,32,-31,0,0,24,8,32,31,24,lob
53.879,3,5,3,2,0,17,-14,9,-1,16,8,12,16,6,7,12,3,-7,4,27,-12,13,-4,20,-4,21,7,13,5,18,5,13,cut
20.771,3,3,3,3,0,23,8,8,8,23,-16,16,-16,0,-16,16,-16,15,-8,24,8,23,24,31,0,39,-8,23,-32,31,-16,31,netplay
23.804,3,1,3,2,-8,24,-16,8,-7,16,-16,16,8,8,-8,16,0,8,-8,24,-8,16,8,24,8,32,8,16,8,24,-8,24,lob
41.998,3,3,3,4,0,32,15,0,8,31,-8,8,-16,0,-15,23,-8,16,-8,23,0,24,23,40,-15,39,-16,16,-15,32,-8,23,cut
22.471,3,2,3,2,0,24,-16,0,-8,15,-8,16,16,0,0,15,8,8,0,15,-8,16,8,23,-16,31,8,16,8,23,8,31,netplay
26.493,3,3,2,2,15,24,8,0,23,24,-15,0,-8,8,0,8,0,8,8,24,8,16,-16,31,-8,24,8,16,8,39,31,24,lob
68.983,2,3,2,2,3,17,-17,3,-2,15,-2,14,10,-5,22,-3,-9,6,1,23,-5,13,-12,17,-1,15,9,14,2,23,2,16,drive
45.075,2,3,2,2,7,31,8,0,8,24,0,16,-15,0,-8,24,-8,23,0,24,8,23,16,32,15,31,-7,23,-16,39,0,40,lob
22.679,3,5,3,2,-16,8,-8,0,-7,16,0,16,0,0,-8,16,16,8,-23,8,-16,8,0,23,-15,24,-8,8,-8,23,31,24,cut
11.28,3,4,3,2,-8,23,16,16,-8,23,0,15,-7,0,-24,8,-16,8,-7,23,0,16,15,31,8,23,-16,16,-16,31,0,30,netplay
16.561,2,1,3,2,24,16,0,0,16,15,-8,16,0,8,0,15,-8,16,16,15,16,8,-16,16,16,23,16,8,-24,8,0,31,netplay
14.423,3,3,3,3,0,24,16,8,7,23,16,16,-15,8,-16,15,0,16,-7,31,0,24,30,31,-7,39,-16,24,16,23,-31,24,long
28.4,2,3,2,3,23,16,16,0,15,8,0,8,-8,8,16,16,8,16,16,16,23,8,24,32,23,32,8,16,-24,32,-8,40,cut
23.105,2,3,3,2,3,16,-15,9,0,17,14,15,11,0,3,25,-9,-6,1,27,-13,11,-6,18,-1,17,10,9,7,19,8,18,lob
31.65,3,3,3,3,0,31,15,0,8,23,8,16,-16,0,-8,15,-7,8,0,23,15,24,8,38,0,39,-8,24,-16,31,-7,31,long
