hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
3,4,2,3,1,2,2,3,2,2,23.936,cut
2,1,2,2,1,2,2,3,2,2,6.59,netplay
3,1,2,3,1,2,2,2,2,2,5.69,netplay
2,1,2,2,4,1,2,2,2,2,18.662,lob
2,1,2,2,3,1,2,3,2,2,27.521,lob
3,3,1,2,2,2,2,3,2,2,60.878,smash
3,2,2,2,3,1,2,3,2,2,35.532,lob
3,3,1,3,2,2,2,3,2,2,75.39,smash
2,2,2,2,1,2,2,3,2,2,21.432,netplay
3,1,2,3,3,1,2,2,2,2,28.656,lob
2,3,1,2,1,2,2,3,2,2,27.301,cut
3,1,2,2,1,2,2,2,2,2,15.222,netplay
3,1,2,3,3,1,2,2,3,1,17.519,lob
3,4,1,2,4,1,2,4,2,2,37.199,long
3,4,1,3,2,1,3,3,3,3,41.337,cut
2,2,1,2,1,2,3,2,3,3,28.531,netplay
2,4,1,2,2,2,3,5,3,2,69.514,smash
3,2,2,5,2,2,3,3,3,2,18.685,netplay
2,4,1,3,2,2,2,3,2,3,60.621,cut
2,2,2,2,1,2,3,3,2,3,18.835,netplay
3,1,2,2,3,2,3,3,3,2,25.286,lob
3,3,2,2,2,2,2,3,2,2,47.968,cut
3,2,2,3,3,1,2,3,3,2,46.045,lob
2,3,1,3,3,1,3,3,3,2,31.778,long
2,3,1,2,3,1,3,3,2,3,40.405,long
3,3,1,3,1,2,2,3,2,3,24.792,cut
2,1,2,3,4,1,2,3,2,2,28.087,lob
2,4,1,2,3,1,3,4,2,2,30.957,long
3,2,2,3,2,2,3,2,3,4,19.298,netplay
2,2,2,2,1,1,2,2,2,2,15.024,netplay
3,1,1,2,3,2,2,2,2,2,28.635,rush
3,2,2,2,4,1,2,2,3,2,14.885,long
3,4,1,3,2,2,3,3,3,4,58.779,cut
2,2,2,2,1,2,3,2,3,3,17.702,netplay
3,1,2,3,1,2,3,2,3,2,9.536,netplay
3,4,1,2,2,2,3,3,3,4,18.7,cut
2,1,2,2,1,2,3,3,2,2,13.364,netplay
3,1,2,3,4,1,2,2,2,2,22.337,lob
2,4,1,2,1,2,2,2,2,3,44.436,cut
3,1,2,2,1,2,2,2,2,3,18.263,netplay
3,1,2,3,1,1,2,2,3,2,12.477,netplay
2,1,1,2,2,2,3,2,3,1,35.943,rush
3,2,2,2,2,1,3,1,3,2,20.837,lob
3,2,1,2,1,2,3,2,2,2,103.55,smash
2,2,2,3,2,2,2,3,3,2,23.505,netplay
2,2,2,2,1,2,3,2,3,2,13.529,netplay
3,1,2,3,5,2,3,2,3,2,18.097,lob
2,4,1,2,4,1,2,3,2,4,30.773,long
3,4,1,1,3,2,2,4,2,3,58.264,smash
3,2,2,3,2,1,3,3,3,3,29.754,netplay
2,2,1,2,1,2,3,2,3,2,19.459,netplay
3,1,2,2,4,1,3,3,3,2,25.859,lob
3,4,1,3,1,2,2,4,3,2,26.56,cut
2,1,2,2,4,1,2,3,2,2,20.984,lob
3,4,1,3,3,1,2,3,2,2,45.658,long
2,3,1,2,4,1,2,3,2,3,34.169,long
3,4,1,2,1,2,2,3,2,2,28.622,cut
3,1,2,3,3,1,3,3,3,2,32.685,lob
2,3,1,3,3,1,3,3,3,2,38.071,long
2,3,1,2,4,1,3,3,2,3,27.435,long
3,4,1,3,2,2,3,3,3,3,46.931,cut
2,2,2,2,3,1,3,3,3,3,31.596,lob
3,3,1,3,3,1,3,3,3,3,61.711,long
2,3,1,2,4,1,3,3,3,3,36.053,long
3,4,1,2,4,1,3,3,3,3,40.171,long
3,4,1,3,3,1,2,4,2,3,36.086,long
2,3,1,3,2,2,2,3,2,4,49.682,cut
2,2,2,2,1,2,3,2,2,3,15.118,netplay
3,1,2,3,4,1,3,3,3,2,22.191,lob
3,1,2,3,1,2,2,3,3,2,11.621,netplay
2,1,2,2,1,2,3,2,3,2,8.852,netplay
3,1,2,3,1,2,3,2,3,1,4.961,netplay
2,1,2,2,3,1,3,2,3,1,18.945,lob
3,3,1,3,3,1,3,2,3,2,26.187,long
3,2,2,2,4,1,2,2,3,2,14.659,long
3,4,1,2,2,2,3,3,3,4,34.807,cut
3,2,2,3,3,1,2,2,3,3,22.604,lob
2,3,1,2,4,1,2,2,2,3,35.867,long
3,4,1,2,1,2,2,3,2,2,29.753,cut
3,1,2,3,3,1,2,3,3,2,22.798,lob
2,3,1,1,1,2,3,3,3,2,20.038,cut
3,2,2,3,2,2,3,3,2,3,19.075,netplay
2,2,2,3,3,1,3,2,3,2,25.914,lob
