velocity,x_left_direct,x_left_distance,x_right_direct,x_right_distance,y_left_direct,y_left_distance,y_right_direct,y_right_distance,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,type
12.183,2,2,3,2,2,3,2,3,16,1,24,17,9,25,9,41,9,57,31,17,47,17,54,41,24,49,16,81,16,105,31,49,39,33,47,97,24,33,netplay
12.615,2,2,2,3,2,2,2,2,12,5,19,19,31,22,17,29,5,32,15,28,25,25,42,24,57,64,39,66,26,91,45,70,50,96,67,116,46,47,lob
49.578,2,3,2,3,3,2,2,2,53,-6,55,15,50,26,32,28,10,28,61,19,83,25,100,41,95,67,105,89,143,116,71,70,48,90,41,127,78,46,lob
33.928,2,3,2,3,2,2,2,2,44,42,36,54,26,48,23,30,25,16,44,71,52,82,59,95,9,95,8,124,11,150,27,100,32,127,31,151,23,78,netplay
9.57,3,3,3,3,2,2,2,2,11,-6,19,18,27,18,34,33,4,33,19,18,19,41,11,57,42,57,27,88,11,112,42,57,34,96,57,135,34,41,netplay
21.476,2,1,2,2,2,2,2,2,36,5,46,23,33,26,27,42,9,57,62,17,81,13,98,18,45,51,36,62,26,86,63,47,79,59,85,66,50,38,lob
37.194,2,2,3,2,3,3,3,3,4,10,19,34,27,34,51,18,51,18,4,34,11,42,43,26,27,81,19,137,11,176,19,81,19,129,11,176,19,58,long
39.562,3,3,3,3,3,4,3,3,9,54,18,72,40,70,57,54,60,25,14,87,33,90,42,83,54,138,60,175,63,217,32,137,27,167,16,202,40,113,cut
23.868,2,2,2,2,3,2,3,3,43,3,45,21,36,28,32,42,21,59,65,17,76,20,89,28,46,57,32,68,18,91,59,56,70,66,76,76,53,40,lob
41.45,2,3,2,3,2,3,2,2,35,53,48,63,61,58,62,25,55,0,49,82,59,66,46,48,103,120,124,139,110,179,71,116,53,141,25,157,79,91,cut
10.93,3,2,3,3,2,3,2,3,68,-3,52,4,60,12,68,19,83,34,52,-3,44,19,52,27,29,27,52,42,68,57,21,19,13,34,-2,42,36,12,netplay
5.614,3,3,3,3,3,2,3,2,74,-6,66,26,74,26,89,42,104,42,50,26,20,34,12,34,58,74,81,74,89,106,43,66,27,98,20,122,58,50,netplay
6.102,3,1,3,1,3,2,3,2,30,3,29,19,30,26,44,32,57,38,21,27,31,33,41,33,11,69,28,83,38,111,22,71,10,82,-2,97,21,48,netplay
12.929,3,2,3,2,3,1,3,1,55,-4,47,20,62,28,70,44,70,36,39,20,24,28,9,44,47,68,62,76,62,108,32,60,16,92,24,124,39,44,netplay
69.941,2,3,3,3,2,3,2,3,11,44,25,59,45,49,53,25,58,1,25,77,41,73,50,65,73,117,90,146,72,178,45,118,33,148,15,179,54,92,smash
36.939,2,3,3,2,2,3,2,3,34,-1,34,15,26,23,26,39,26,55,42,23,50,31,50,39,26,55,18,78,2,94,42,55,58,78,66,102,34,39,netplay
37.421,2,3,3,3,3,2,2,3,60,-7,68,17,75,25,75,41,60,49,60,17,44,41,28,49,75,65,83,88,107,120,60,65,36,96,20,136,68,41,lob
72.062,3,2,3,2,3,2,2,2,79,19,69,27,56,24,65,3,56,14,61,47,62,68,68,53,31,61,21,84,14,107,51,66,58,87,68,110,49,49,smash
33.386,3,3,3,3,3,4,3,3,6,55,17,74,41,72,54,57,59,30,11,87,34,92,47,77,52,137,53,177,56,218,29,142,26,174,20,206,38,118,cut
22.86,2,2,2,2,3,2,3,2,36,-3,29,20,21,20,21,28,29,36,36,20,44,28,36,36,29,36,13,51,5,75,36,36,44,44,59,59,29,28,lob
33.825,3,3,3,3,3,3,3,3,28,17,36,40,20,48,12,56,20,40,44,40,75,24,91,9,28,87,20,118,12,142,44,87,67,126,75,173,36,63,long
29.461,3,4,3,5,3,2,3,2,63,39,52,51,37,44,32,35,36,21,56,64,50,78,42,66,21,81,10,109,20,133,41,87,42,111,63,127,40,69,cut
12.924,3,4,3,3,3,2,3,2,58,-7,50,17,66,25,74,41,82,48,42,17,26,25,18,25,50,56,66,72,74,96,34,56,18,88,18,119,42,41,netplay
