hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity_new,type
3,2,2,2,3,2,3,2,3,2,9.965423753,lob
2,3,2,3,2,2,3,2,3,3,33.14402938,smash
3,2,2,3,3,1,3,3,3,2,25.66579921,lob
3,3,1,2,3,2,3,3,3,3,94.99857426,smash
3,2,2,3,4,1,2,2,3,2,17.82924847,long
3,4,1,2,1,2,2,4,2,3,11.89169224,smash
2,1,2,3,4,1,2,2,2,1,17.35131542,lob
2,2,2,2,1,2,2,3,3,2,21.47366125,netplay
2,1,2,2,3,1,2,3,3,2,23.99553171,lob
2,3,1,3,2,2,2,5,3,2,50.95987081,smash
3,2,2,1,1,2,2,3,2,2,18.70900319,netplay
1,1,2,3,1,2,2,2,2,2,12.2688256,netplay
3,1,2,3,4,1,2,2,2,1,17.43721353,lob
3,4,1,3,2,2,3,4,3,2,41.27603557,cut
3,2,2,2,1,2,3,3,2,2,15.95335196,netplay
2,1,2,2,1,2,2,2,3,2,14.77404227,netplay
2,1,2,2,3,1,3,3,3,1,24.2127676,lob
2,3,1,3,3,1,2,3,2,2,31.63843433,long
3,3,1,2,1,1,2,3,2,4,28.75133145,cut
2,2,2,2,1,2,2,3,3,2,24.39619954,netplay
2,1,2,2,1,2,2,2,3,2,14.27576797,netplay
2,1,2,3,3,1,2,2,2,2,24.47103762,lob
3,3,1,2,2,2,2,3,2,3,52.56493128,cut
2,2,2,3,2,2,2,3,2,2,28.12983404,netplay
3,2,2,3,3,1,2,3,2,2,19.10086653,lob
3,3,1,3,3,2,3,4,3,3,99.8394084,cut
3,3,2,2,1,2,2,3,3,2,22.55188802,netplay
2,1,2,2,2,2,2,1,2,2,40.72691533,lob
2,2,2,3,2,1,2,1,2,2,28.25653393,lob
2,2,2,3,1,2,3,3,2,2,20.75774328,netplay
3,1,2,2,1,2,2,2,2,1,10.89163015,netplay
2,1,2,2,4,1,2,2,2,2,23.72621953,lob
2,4,1,3,2,2,3,3,3,3,50.92013863,smash
3,2,2,3,2,2,3,3,3,3,20.35736725,drive
3,2,2,2,3,1,2,3,2,1,21.56320963,lob
2,3,1,3,3,1,2,4,2,2,49.37584361,long
3,3,1,2,1,2,2,3,2,3,21.88191222,cut
2,1,2,2,1,2,2,2,2,2,15.59741721,netplay
2,1,2,2,3,1,2,2,3,1,21.48270295,lob
2,3,1,3,2,2,2,5,3,2,59.53934164,smash
3,2,2,2,1,2,2,3,2,3,19.31563816,lob
3,2,2,3,3,1,3,3,2,2,15.26693402,long
3,3,1,2,2,2,3,4,3,2,47.00350728,cut
2,2,2,2,2,1,3,3,3,2,33.39580812,drive
2,2,1,3,1,2,2,3,2,2,17.5478355,drive
3,1,2,3,1,2,2,3,2,1,7.122073231,netplay
3,1,2,2,1,1,3,2,3,2,9.753667278,netplay
2,1,1,3,1,2,3,3,3,1,29.77158824,netplay
2,2,2,2,1,2,2,3,3,2,19.08465457,netplay
2,1,2,3,1,2,2,3,3,2,7.487966091,netplay
3,1,2,2,1,2,2,2,3,2,4.692097177,netplay
2,1,2,2,4,1,2,2,3,1,16.06218934,lob
2,4,1,3,2,2,2,5,3,2,59.55113735,smash
3,2,2,2,1,1,2,3,2,3,16.07989363,lob
2,1,1,3,1,2,2,2,2,3,9.328118765,drive
3,1,2,2,3,1,2,2,2,2,17.16646479,lob
3,2,2,3,4,1,3,3,2,2,16.4616147,long
3,4,1,2,3,2,3,4,3,2,75.63085085,cut
2,3,2,3,1,2,3,3,3,2,23.30696279,drive
3,1,2,2,1,2,3,2,3,2,7.224503272,netplay
2,1,2,2,3,1,3,2,3,1,22.32079847,lob
2,3,1,3,4,1,2,4,2,2,31.97839806,long
3,4,1,2,2,2,2,3,2,4,77.26830255,smash
2,2,2,3,1,2,2,3,2,4,19.75316164,netplay
3,1,2,3,4,1,2,3,2,2,26.08355361,lob
3,4,1,2,3,2,3,4,3,2,72.20303478,drive
2,3,2,3,1,2,3,3,3,2,29.38922445,netplay
3,1,2,2,2,1,3,2,3,2,38.48945178,drive
2,2,1,3,2,2,3,3,3,2,48.87708165,drive
3,2,2,3,2,2,3,3,3,2,25.23172178,netplay
3,2,2,2,1,2,2,3,2,2,14.42394193,netplay
2,1,2,3,1,2,2,2,2,2,6.764372454,lob
3,1,2,3,4,1,2,2,2,1,20.99430443,lob
3,4,1,3,4,2,3,4,3,2,54.04945926,long
3,4,2,3,2,2,3,3,2,3,40.30694476,cut
3,2,2,2,4,1,2,3,3,2,16.43366782,long
2,4,1,2,2,2,2,4,2,3,77.82263604,drive
2,2,2,3,1,2,2,3,3,2,21.83234907,drive
3,1,2,2,3,1,3,2,3,2,34.30981296,lob
2,3,1,2,2,2,3,3,3,3,65.08666292,smash
2,2,2,3,1,2,3,3,3,2,19.28966287,netplay
3,1,2,2,1,2,2,3,2,1,8.099634134,netplay
2,1,2,2,3,1,2,1,2,2,10.91864435,lob
3,2,2,3,3,1,3,2,2,2,23.87835755,long
3,3,1,2,1,2,2,3,2,3,41.8683359,cut
2,1,2,3,1,2,2,3,2,2,14.02910333,netplay
3,1,2,2,3,1,2,3,2,1,21.01834553,lob
2,3,1,3,3,2,2,3,2,3,84.82226556,cut
3,3,2,2,1,2,2,3,2,3,20.79965395,netplay
