hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,velocity_new,type
2,2,2,3,1,1,19.8598354,lob
3,1,1,2,1,2,8.2874875,netplay
2,1,2,2,1,2,14.2869837,netplay
2,1,2,2,3,1,23.5575443,lob
2,3,1,2,4,1,23.9894753,long
2,4,1,3,2,2,79.0204783,smash
3,2,2,3,1,2,18.3892932,netplay
3,1,2,3,3,1,19.9417584,lob
3,3,1,3,1,2,24.2357305,cut
3,1,2,2,2,1,23.0936978,lob
3,2,2,2,4,1,16.0710086,long
2,4,1,3,3,2,74.9314815,cut
3,3,2,3,1,2,22.5959338,netplay
3,1,2,2,1,2,14.22444,netplay
2,1,2,2,3,1,23.4457706,lob
2,3,1,3,3,1,26.8033564,long
3,3,1,2,2,2,53.6400064,cut
2,2,2,3,3,1,33.9482596,lob
3,3,1,2,1,2,64.5244511,cut
2,1,2,2,1,2,22.5861914,drive
2,1,2,3,3,1,23.9475987,lob
3,3,1,3,3,0,41.2658198,drive
2,2,2,2,3,1,29.6641687,lob
2,3,1,2,3,1,26.6557923,long
2,3,1,2,2,2,65.31137,smash
2,2,2,3,1,2,14.8260159,netplay
3,1,2,2,1,2,9.07544905,netplay
2,1,2,2,3,1,20.8763861,lob
2,3,1,3,4,1,22.9344048,long
3,4,1,3,2,2,57.3975395,cut
3,2,2,3,1,2,19.8525286,drive
3,1,2,2,3,1,25.3538797,netplay
2,3,1,3,2,2,23.7831591,cut
3,2,2,2,3,1,18.2456627,lob
2,3,1,3,3,2,75.6115246,cut
3,3,2,3,2,2,13.8247043,lob
3,2,2,3,2,2,21.5217024,netplay
3,2,2,3,3,1,25.8883938,lob
3,3,1,3,1,2,28.6700794,cut
3,1,2,2,1,1,7.22621581,netplay
2,1,1,2,4,2,12.465824,lob
2,4,2,2,1,2,35.6573856,cut
2,1,2,3,1,1,11.2289113,netplay
3,1,1,2,1,2,6.21818182,netplay
2,1,2,2,1,2,15.6094355,netplay
2,1,2,2,3,0,31.6816989,rush
3,2,2,3,4,1,17.1032791,long
3,4,1,2,1,2,36.3925852,cut
2,1,2,2,3,1,28.3421619,drive
2,3,1,3,1,1,12.7951622,drive
3,1,1,2,1,2,8.57618915,netplay
2,1,2,1,4,0,17.6368483,lob
