rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
6.0,1.0,00:53:13.520,79838.0,A,1.0,發長球,,,B2,242.0,686.0,2.0,,,4,1,,B4,146.0,17.0,1.0,,,,,,,,,,10.0,70.0,20.0,20.0,67.75,115.75,134.11981583643782,57.99999999999999,107.0,121.70866854912184,,899.3519889342548,,,,,,,,
6.0,2.0,00:53:15.760,79894.0,B,,切球,,,B4,146.0,17.0,1.0,,,4,1,,B2,373.0,644.0,2.0,,,,,,268,35,365,992,90.0,60.0,10.0,60.0,67.75,74.0,100.32976876281536,52.24999999999999,58.99999999999999,78.81029437833614,,84.87638069569178,,,,,1,0,0,0
6.0,3.0,00:53:16.560,79914.0,A,,挑球,,,B2,373.0,644.0,2.0,,,4,1,,A3,364.0,109.0,1.0,1000.0,268,35,365,992,437,63,485,-110,50.0,20.0,80.0,80.0,28.749999999999996,10.5,30.607392897795133,60.5,50.5,78.80672560130893,0.04347556785138062,85.44588931013593,1,0,0,0,0,0,0,1
6.0,4.0,00:53:17.480,79937.0,B,,長球,1.0,,A3,364.0,109.0,1.0,,,4,1,,A3,81.0,863.0,1.0,1000.0,437,63,485,-110,318,42,146,944,80.0,0.0,60.0,60.0,12.0,65.0,66.09841147864296,16.0,3.5000000000000004,16.3783393541592,,32.0,0,0,0,1,1,0,0,0
6.0,5.0,00:53:18.720,79968.0,A,,長球,1.0,,A3,81.0,863.0,1.0,,,4,1,,B4,146.0,14.0,1.0,,318,42,146,944,,,,,0.0,60.0,30.0,20.0,0.0,3.5000000000000004,3.5000000000000004,28.249999999999996,2.0,28.320707971376706,0.03736345511027825,1025.0136584455838,1,0,0,0,,,,
6.0,6.0,00:53:20.280,80007.0,B,,長球,,,B4,146.0,14.0,1.0,,,4,1,,B3,336.0,881.0,2.0,,,,,,261,35,359,1112,10.0,30.0,10.0,50.0,50.24999999999999,1.7500000000000002,50.28046340279691,65.25,61.25,89.49371486311203,,152.620444239951,,,,,1,0,0,0
6.0,7.0,00:53:21.520,80038.0,A,,過渡切球,,,B3,336.0,881.0,2.0,,,4,1,,B1,85.0,352.0,2.0,1000.0,261,35,359,1112,166,375,233,254,60.0,0.0,80.0,0.0,44.0,30.0,53.25410782277739,20.5,5.0,21.10094784600919,0.03389782441396497,101.01980003939822,1,0,0,0,1,0,0,0
6.0,8.0,00:53:22.600,80065.0,B,,挑球,,,B1,85.0,352.0,2.0,,,4,1,,B4,302.0,910.0,1.0,1000.0,166,375,233,254,272,131,317,1148,60.0,90.0,30.0,0.0,61.0,99.75,116.92331888891967,54.25,105.0,118.1865580343213,0.170578427709954,1092.6307702055622,1,0,0,0,0,1,0,0
6.0,9.0,00:53:23.840,80096.0,A,,長球,,,B4,302.0,910.0,1.0,,,4,1,,A4,356.0,39.0,1.0,2000.0,272,131,317,1148,522,-196,453,-21,0.0,30.0,40.0,60.0,22.5,88.25,91.07311623086146,28.499999999999996,21.0,35.40127116361784,0.07906089425246846,186.560981987124,0,1,0,0,0,0,0,1
6.0,10.0,00:53:25.080,80127.0,B,,切球,1.0,,A4,356.0,39.0,1.0,,,4,1,,A2,104.0,617.0,2.0,0.0,522,-196,453,-21,425,-14,283,1000,0.0,80.0,70.0,90.0,17.5,70.5,72.63952092353033,16.75,62.25000000000001,64.46413731680585,0.14755105048761935,837.611485117056,0,0,0,1,1,0,0,0
6.0,11.0,00:53:25.880,80147.0,A,,挑球,,1.0,A2,104.0,617.0,2.0,,,4,1,,B4,105.0,49.0,2.0,2000.0,425,-14,283,1000,217,56,268,56,0.0,80.0,20.0,0.0,35.0,10.5,36.54107278118693,89.5,10.0,90.05692644100175,0.054786517502027815,104.38869670610895,1,0,0,0,0,0,1,0
6.0,12.0,00:53:27.160,80179.0,B,,過渡切球,,,B4,105.0,49.0,2.0,,,4,1,,A1,125.0,536.0,2.0,0.0,217,56,268,56,251,42,241,907,30.0,60.0,60.0,70.0,1.7500000000000002,86.5,86.51770050111134,16.0,61.75000000000001,63.78920363196268,0.3226937402553697,855.3794479644691,0,0,1,0,1,0,0,0
6.0,13.0,00:53:27.960,80199.0,A,,放小球,,1.0,A1,125.0,536.0,2.0,,,4,1,,A1,337.0,374.0,2.0,1000.0,251,42,241,907,443,415,368,254,90.0,50.0,60.0,20.0,2.25,51.24999999999999,51.29936646782297,61.5,72.0,94.69028461251978,0.05060769594526991,150.72159765607583,1,0,0,0,1,0,0,0
6.0,14.0,00:53:28.840,80221.0,B,,挑球,,1.0,A1,337.0,374.0,2.0,,,4,1,,A4,117.0,884.0,1.0,2000.0,443,415,368,254,298,145,154,1105,90.0,0.0,40.0,50.0,24.75,42.5,49.18142433887006,28.499999999999996,66.25,72.1201254851931,0.12550099601198392,989.4735974244082,1,0,0,0,1,0,0,0
6.0,15.0,00:53:30.240,80256.0,A,,長球,1.0,,A4,117.0,884.0,1.0,,,4,1,,B3,67.0,66.0,2.0,1000.0,298,145,154,1105,242,21,152,21,40.0,20.0,60.0,50.0,31.0,45.5,55.056788863863105,8.5,236.24999999999997,236.4028606002897,0.0697862808867187,148.27339613025663,1,0,0,0,0,0,1,0
6.0,16.0,00:53:31.080,80277.0,B,,過渡切球,,,B3,67.0,66.0,2.0,,,4,1,,A1,99.0,565.0,2.0,1000.0,242,21,152,21,254,84,207,887,70.0,70.0,0.0,10.0,73.25,70.75,101.83872053398943,55.0,67.25,86.8767086162914,0.13827260213071857,553.531390257138,0,0,1,0,1,0,0,0
