unique_id,rally,ball_round,time,frame_num,player,server,type,around_head,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
2018-Indonesia_open-finals-1-1,4,6,00:00:52.300000,1570,B,,擋小球,,1.0,A2,215,695,2.0,,,4,3,,A1,314.0,375.0,2.0,1000.0,295,-619,373,948,432.0,-532.0,432.0,-532.0,10.0,20.0,30.0,10.0,2.25,2.0,3.010398644698074,26.75,17.75,32.10334873498402,0.033000946956110215,1568.9400880849466,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,7,00:00:53.300000,1599,A,,挑球,,1.0,A1,314,375,2.0,,,4,3,,A3,102.0,843.0,1.0,1000.0,432,-532,432,-532,286.0,-627.0,266.0,1019.0,30.0,40.0,40.0,40.0,49.25,19.0,52.787901075909424,44.0,19.0,47.92702786528704,0.20139078926306436,0.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,4,8,00:00:54.300000,1630,B,,長球,1.0,,C2,102,843,1.0,,,4,3,,B3,136.0,179.0,1.0,0.0,286,-627,266,1019,235.0,-608.0,256.0,-608.0,50.0,90.0,0.0,90.0,3.75,2.25,4.373213921133975,15.0,62.74999999999999,64.51792386616296,0.12307416463254992,1646.121502198425,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,9,00:00:54.900000,1647,A,,切球,,,A2,136,179,1.0,,,4,3,,A2,104.0,641.0,2.0,1000.0,235,-608,256,-608,301.0,-618.0,206.0,768.0,40.0,10.0,30.0,10.0,6.5,17.25,18.434003905825776,11.749999999999998,17.25,20.871631464741803,0.02601975745040253,21.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,4,10,00:00:55.800000,1673,B,,挑球,,1.0,C2,104,641,2.0,,,4,3,,B4,59.0,29.0,1.0,2000.0,301,-618,206,768,209.0,-677.0,209.0,-677.0,40.0,10.0,0.0,30.0,24.0,2.25,24.105238019982295,2.5,48.25,48.31472342878514,0.05077647092896473,1389.2519569898038,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,11,00:00:57,1710,A,,切球,,,B3,59,29,1.0,,,4,3,,A2,74.0,639.0,2.0,0.0,209,-677,209,-677,205.0,-627.0,216.0,961.0,30.0,80.0,40.0,0.0,23.25,112.00000000000001,114.38777251087635,26.0,12.5,28.848743473503312,0.267774625384856,0.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,4,12,00:00:57.700000,1730,B,,擋小球,,,C2,74,639,2.0,,,4,3,,B2,169.0,230.0,1.0,1000.0,205,-627,216,961,302.0,-229.0,313.0,-627.0,10.0,60.0,20.0,70.0,47.75,21.5,52.36709367532249,23.0,70.75,74.394640263933,0.08620397322629623,1588.0380977797731,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,13,00:00:58.500000,1755,A,,平球,,,A2,169,230,1.0,,,4,3,,B2,283.0,679.0,1.0,1000.0,302,-229,313,-627,396.0,-541.0,308.0,678.0,30.0,20.0,50.0,90.0,20.75,114.5,116.36499688480208,21.25,35.25,41.15974975628496,0.31105666686312966,398.1519810323691,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,4,14,00:00:59,1769,B,,平球,,,A2,283,679,1.0,,,4,3,,A2,257.0,211.0,1.0,0.0,396,-541,308,678,385.0,-687.0,398.0,-768.0,90.0,40.0,80.0,20.0,17.75,26.5,31.895336649736116,7.000000000000001,42.0,42.579337712087536,0.13867678248358664,1222.1722464530112,"[0, 0, 1, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,15,00:00:59.300000,1780,A,,擋小球,,1.0,A2,257,211,1.0,,,4,3,,B1,271.0,521.0,2.0,1000.0,385,-687,398,-768,325.0,-647.0,336.0,510.0,70.0,50.0,30.0,0.0,25.75,178.75,180.59519650311853,29.249999999999996,185.0,187.29805791838845,0.7357691553741568,82.03657720797473,"[0, 0, 0, 1]","[0, 0, 0, 1]"
